product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
123844,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124891,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
123846,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124893,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
123845,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124894,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124904,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
121091,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: CASE,대기
121092,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: CASE,대기
101329,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
103328,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset",대기
101677,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
101300,core_part,GPU,0.95,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
102269,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
104257,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
101258,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
101253,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
101249,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
101315,core_part,GPU,0.95,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
102512,core_part,MB,0.9,AI 추천 후보 필수 product_specs 누락: chipset,대기
100725,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100724,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
